arrival_rate_over_lambda_sn,density_over_n_sn,branch,fixed_point_slope
0.2749732441471572,0.20203207153855127,stable,0.030386744245026423
0.2749732441471572,1.3610375919681024,unstable,32.90908667070099
0.278314381270903,0.20456498474385074,stable,0.030886726618412397
0.278314381270903,1.3605181826176107,unstable,32.37636711570038
0.2816555183946488,0.20710018022932758,stable,0.03139081459838487
0.2816555183946488,1.3599964909869424,unstable,31.856452685094325
0.28499665551839465,0.20963767619761253,stable,0.03189905319567087
0.28499665551839465,1.3594724988734652,unstable,31.348892829700674
0.28833779264214043,0.21217749107325934,stable,0.03241148807905129
0.28833779264214043,1.3589461878526263,unstable,30.853257880693523
0.2916789297658863,0.21471964350646017,stable,0.032928165587683786
0.2916789297658863,1.3584175392742337,unstable,30.369137853644773
0.2950200668896321,0.2172641523768392,stable,0.033449132743710544
0.2950200668896321,1.3578865342586626,unstable,29.89614133382944
0.2983612040133779,0.2198110367973286,stable,0.033974437265158475
0.2983612040133779,1.3573531536929815,unstable,29.43389443643652
0.30170234113712374,0.2223603161181286,stable,0.03450412757914014
0.30170234113712374,1.3568173782269894,unstable,28.98203983585346
0.3050434782608695,0.22491200993075272,stable,0.03503825283536384
0.3050434782608695,1.3562791882691734,unstable,28.540235858755935
0.30838461538461537,0.22746613807216287,stable,0.03557686291996141
0.30838461538461537,1.3557385639825712,unstable,28.10815563614309
0.3117257525083612,0.23002272062899376,stable,0.03612000846964275
0.3117257525083612,1.3551954852805483,unstable,27.68548630990673
0.315066889632107,0.23258177794187143,stable,0.0366677408861863
0.315066889632107,1.354649931822479,unstable,27.27192828988102
0.31840802675585284,0.23514333060982737,stable,0.03722011235127506
0.31840802675585284,1.3541018830093308,unstable,26.867194557668753
0.3217491638795986,0.23770739949481068,stable,0.037777175841687945
0.3217491638795986,1.3535513179791554,unstable,26.47101001384207
0.32509030100334446,0.24027400572630167,stable,0.03833898514485681
0.32509030100334446,1.3529982156024727,unstable,26.08311086539435
0.3284314381270903,0.24284317070602893,stable,0.0389055948747995
0.3284314381270903,1.3524425544775533,unstable,25.703244050580786
0.3317725752508361,0.24541491611279284,stable,0.03947706048843994
0.3317725752508361,1.3518843129255975,unstable,25.33116669851406
0.33511371237458193,0.24798926390739962,stable,0.040053438302326695
0.33511371237458193,1.3513234689857987,unstable,24.96664562108028
0.33845484949832777,0.2505662363377066,stable,0.04063478550976109
