sweep,condition_value,speed_m_per_s,robot_count,replication,split,causal_events,primary_events,unique_causal_robots,censored_causal_events,treated_traversal_rate_per_s,control_traversal_rate_per_s,attributable_rate_loss_per_s,attributable_severity_s,traversal_loss,collision_count,crossing_violation_count
speed,1.5,1.5,20,4,training,8,1,8,0,0.4957794246118939,0.5000000000000168,0.004220575388122871,20.258761862982276,0.5064690465747484,0,0
speed,1.5,1.5,20,5,training,7,1,7,0,0.4974371132363632,0.5000000000000168,0.0025628867636535713,12.301856465530715,0.30754641163842866,0,0
speed,1.5,1.5,20,6,validation,11,1,11,0,0.4930628011477927,0.5000000000000168,0.006937198852224047,33.29855449066465,0.8324638622668933,0,0
speed,1.5,1.5,20,7,validation,10,1,10,0,0.49354030659875275,0.5000000000000168,0.006459693401264011,31.006528326057364,0.7751632081516855,0,0
speed,1.5,1.5,20,8,validation,11,1,11,0,0.4923444975266207,0.5000000000000168,0.007655502473396081,36.74641187228997,0.918660296807522,0,0
speed,1.5,1.5,20,9,validation,11,1,11,0,0.492849920813976,0.5000000000000168,0.00715007918604077,34.32038009298466,0.8580095023248991,0,0
speed,1.5,1.5,20,10,validation,12,1,12,0,0.4919392020164538,0.5000000000000168,0.008060797983562962,38.691830321090144,0.9672957580275607,0,0
speed,1.5,1.5,20,11,validation,7,1,7,0,0.4968779993503876,0.5000000000000168,0.003122000649629142,14.985603118213628,0.37464007795550647,0,0
speed,1.6,1.6,20,0,training,13,1,13,0,0.5242331913903724,0.5333333333333634,0.009100141942991025,40.950638743464076,1.0920170331589223,0,0
speed,1.6,1.6,20,1,training,11,1,11,0,0.5266459005209149,0.5333333333333634,0.006687432812448546,30.09344765603919,0.8024919374938293,0,0
speed,1.6,1.6,20,2,training,14,1,14,0,0.5229476572255789,0.5333333333333634,0.010385676107784514,46.735542485023956,1.246281132934126,0,0
speed,1.6,1.6,20,3,training,11,1,11,0,0.5275890858413741,0.5333333333333634,0.005744247491989318,25.849113713973118,0.6893096990387193,0,0
speed,1.6,1.6,20,4,training,10,1,10,0,0.527819191041625,0.5333333333333634,0.005514142291738411,24.81364031284943,0.6616970750086115,0,0
speed,1.6,1.6,20,5,training,14,1,14,0,0.5228062880850363,0.5333333333333634,0.01052704524832715,47.37170361746562,1.263245429799269,0,0
speed,1.6,1.6,20,6,validation,15,1,15,0,0.522518804881923,0.5333333333333634,0.010814528451440375,48.66537803146613,1.2977434141728466,0,0
speed,1.6,1.6,20,7,validation,10,1,10,0,0.5282823482957107,0.5333333333333634,0.005050985037652667,22.72943266946436,0.6061182045183207,0,0
speed,1.6,1.6,20,8,validation,15,1,15,0,0.5215290464711786,0.5333333333333634,0.01180428686218482,53.11929087981708,1.4165144234621783,0,0
speed,1.6,1.6,20,9,validation,8,1,8,0,0.5304499293065836,0.5333333333333634,0.002883404026779779,12.975318120540544,0.34600848321357913,0,0
speed,1.6,1.6,20,10,validation,8,1,8,0,0.529770610197533,0.5333333333333634,0.0035627231358303924,16.03225411126778,0.42752677629964825,0,0
speed,1.6,1.6,20,11,validation,9,1,9,0,0.528963417537888,0.5333333333333634,0.00436991579547541,19.664621079669743,0.5243898954570625,0,0
speed,1.8,1.8,20,0,training,14,1,14,0,0.5937885667155947,0.6000000000000206,0.006211433284425971,24.84573313768618,0.7453719941311305,0,0
